,Id,degree,group
941,6266142,18,0
942,83598715,18,1
943,87530923,18,1
944,2948668960,18,0
945,48701108,18,1
946,21208792,18,1
947,1010384732759252997,18,0
948,1085909117607337989,18,1
949,363929398,18,1
950,749673114229940228,18,0
951,540155956,18,1
952,2279940315,18,1
953,3118572099,18,1
954,446309077,18,0
955,974262519593349120,18,1
956,960269387881164805,18,1
957,110831275,18,1
958,782092949744152576,18,1
959,10524,18,1
960,864113845442424832,18,1
961,22292926,18,1
962,954655594362916864,18,2
963,8071902,18,2
964,16264077,18,1
965,470068369,18,1
966,2616995078,18,0
967,18361968,18,1
968,304852634,18,0
969,1004995906435940357,18,1
970,20624058,18,0
971,452932309,18,1
972,841345089184104448,18,0
973,312783905,18,2
974,23999768,18,2
975,592459244,18,0
976,26719744,18,1
977,742321348664557568,18,0
978,785547681649266688,18,1
979,620214322,18,1
980,3335731978,18,2
981,263273601,18,1
982,800177784,18,0
983,175750974,18,1
984,830115018905632773,18,1
985,15352541,18,1
986,23315228,18,1
987,19284888,18,2
988,1194973725793370112,18,1
989,871547965,18,2
990,12043512,18,1
991,9979392,18,1
992,930346555793657856,18,0
993,16828531,18,1
994,13388132,18,1
995,15682551,18,1
996,7556272,18,1
997,523554201,18,2
998,17485384,18,1
999,310267481,18,1
1000,1471826726418370561,18,1
1001,34918353,18,1
1002,102093197,18,2
1003,19026321,18,1
1004,351065029,18,0
1005,109106637,18,1
1006,58644094,18,2
1007,1085683407844265984,18,0
1008,929421360,18,0
1009,101013718,18,1
1010,240277940,18,1
1011,38066686,18,1
1012,15391520,18,1
1013,18897786,18,1
1014,15916118,18,2
1015,1022059408682098689,18,1
1016,21192004,18,1
1017,4391165297,18,0
1018,17391010,18,1
1019,69558002,18,0
1020,2846809907,18,0
1021,4301250748,18,0
1022,1067298345536970752,18,0
1023,263119419,18,1
1024,825717050538618880,18,0
1025,773177323352911872,18,0
1026,20276317,18,1
1027,7201962,18,1
1028,351856188,18,1
1029,1612441182,18,1
1030,3863930540,18,1
1031,370829305,18,1
1032,168782536,18,1
1033,872201896739692544,18,1
1034,790334365989498880,18,0
1035,282914879,18,0
1036,599389281,18,2
